,tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_R,Pre_L,r_pre,r_pre_reg,pinn_r
26,11.127641,152.43027,202.8151,7.180955,13.500594,3.3640747,50.5,120.50575,4.622383,157.89838,154.28075,129.0721
27,27.062147,390.70532,161.83989,16.042715,31.787817,7.428618,50.5,139.6614,4.685766,145.04356,139.02922,134.46254
28,11.972886,194.89194,141.84695,10.43834,14.447734,3.1267147,50.5,120.47099,4.6280375,116.95445,116.29361,126.16049
29,13.976145,246.96468,115.701706,13.817366,16.73798,3.2914567,50.5,123.593445,4.6796618,107.88587,104.875534,123.29736
30,12.5461855,202.26773,139.901,10.81341,15.126352,3.2896647,50.5,120.987495,4.6409707,117.06152,115.70898,125.37967
31,12.707555,160.22171,229.99649,6.714805,15.340483,4.002983,50.5,122.512276,4.6638236,173.44739,168.51657,126.25836
32,12.645106,195.02005,153.02505,9.988536,15.241892,3.4447398,50.5,121.9003,4.650783,140.23259,133.08589,126.792656
33,21.182327,323.05438,138.42746,14.812439,25.03905,5.6060624,50.5,121.85864,4.606948,117.156456,114.578156,117.89715
34,11.138468,135.85641,260.71536,5.6661944,13.515916,3.616927,50.5,122.192055,4.6577597,231.26149,230.348,130.09174
35,21.798258,331.82263,142.21835,15.088811,25.740982,5.769731,50.5,129.94598,4.663903,116.411194,116.32472,125.59833
36,12.288265,189.00107,156.06741,9.726067,14.832419,3.3661673,50.5,123.180305,4.6591797,139.40717,132.69484,128.94635
